name,rate,priority,class_type,zip_postal_code,status
AL - (ALLGOOD),10,0,zip-postal-code,35013,active
AL - (TALLADEGA),9,0,zip-postal-code,35014,active
AL - (IRONDALE),10,0,zip-postal-code,35015,active
AL - (ARAB),12.5,0,zip-postal-code,35016,active
AL - (CULLMAN),8.5,0,zip-postal-code,35019,active
AL - (BESSEMER),10,0,zip-postal-code,35020,active
AL - (BESSEMER),10,0,zip-postal-code,35021,active
AL - (HELENA),10,0,zip-postal-code,35022,active
AL - (BESSEMER),10,0,zip-postal-code,35023,active
AL - (BLOUNTSVILLE),9,0,zip-postal-code,35031,active
AL - (BON AIR),5,0,zip-postal-code,35032,active
AL - (CULLMAN),8.5,0,zip-postal-code,35033,active
AL - (CENTREVILLE),10,0,zip-postal-code,35034,active
AL - (BIBB),8,0,zip-postal-code,35035,active
AL - (BROOKSIDE),10,0,zip-postal-code,35036,active
AL - (WALKER),6,0,zip-postal-code,35038,active
AL - (CALERA),12,0,zip-postal-code,35040,active
AL - (CENTREVILLE),10,0,zip-postal-code,35042,active
AL - (CHELSEA),10,0,zip-postal-code,35043,active
AL - (CHILDERSBURG),9,0,zip-postal-code,35044,active
AL - (CLANTON),10,0,zip-postal-code,35045,active
AL - (CLANTON),10,0,zip-postal-code,35046,active
AL - (CLAY),10,0,zip-postal-code,35048,active
AL - (CLEVELAND),9,0,zip-postal-code,35049,active
AL - (CHELSEA),10,0,zip-postal-code,35051,active
AL - (SAINT CLAIR CO 7059),6,0,zip-postal-code,35052,active
AL - (CULLMAN),8.5,0,zip-postal-code,35053,active
AL - (SAINT CLAIR CL PELL CITY 7759),10,0,zip-postal-code,35054,active
AL - (GOOD HOPE),9,0,zip-postal-code,35055,active
AL - (CULLMAN),9,0,zip-postal-code,35056,active
AL - (GOOD HOPE),9,0,zip-postal-code,35057,active
AL - (CULLMAN),9,0,zip-postal-code,35058,active
AL - (ADAMSVILLE),10,0,zip-postal-code,35060,active
AL - (BESSEMER),10,0,zip-postal-code,35061,active
AL - (SUMITON),10,0,zip-postal-code,35062,active
AL - (SUMITON UN),8,0,zip-postal-code,35063,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35064,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35068,active
AL - (GARDEN CITY),9,0,zip-postal-code,35070,active
AL - (FULTONDALE),10,0,zip-postal-code,35071,active
AL - (GOODWATER),9,0,zip-postal-code,35072,active
AL - (CARDIFF),10,0,zip-postal-code,35073,active
AL - (WOODSTOCK (NORTH BIBB) PJ),9,0,zip-postal-code,35074,active
AL - (GARDEN CITY),9,0,zip-postal-code,35077,active
AL - (HARPERSVILLE),9,0,zip-postal-code,35078,active
AL - (HAYDEN),9,0,zip-postal-code,35079,active
AL - (HELENA),10,0,zip-postal-code,35080,active
AL - (SYLACAUGA),8,0,zip-postal-code,35082,active
AL - (CULLMAN),8.5,0,zip-postal-code,35083,active
AL - (JEMISON),11,0,zip-postal-code,35085,active
AL - (ARAB PJ),10,0,zip-postal-code,35087,active
AL - (ALEXANDER CITY),10,0,zip-postal-code,35089,active
AL - (KIMBERLY),10,0,zip-postal-code,35091,active
AL - (LEEDS),10,0,zip-postal-code,35094,active
AL - (LINCOLN),10,0,zip-postal-code,35096,active
AL - (LOCUST FORK),9,0,zip-postal-code,35097,active
AL - (CULLMAN),8.5,0,zip-postal-code,35098,active
AL - (WOODSTOCK),10,0,zip-postal-code,35111,active
AL - (MARGARET),10,0,zip-postal-code,35112,active
AL - (ALABASTER),9,0,zip-postal-code,35114,active
AL - (CALERA PJ),10,0,zip-postal-code,35115,active
AL - (FULTONDALE),10,0,zip-postal-code,35116,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35117,active
AL - (BIRMINGHAM),10,0,zip-postal-code,35118,active
AL - (FULTONDALE),10,0,zip-postal-code,35119,active
AL - (ARGO),10,0,zip-postal-code,35120,active
